,fips,county,st,pred_diff
15,01001,Autauga,AL,-7.8
31,01003,Baldwin,AL,0.6
47,01005,Barbour,AL,-4.6
63,01007,Bibb,AL,5.6
79,01009,Blount,AL,-1.2
95,01011,Bullock,AL,0.6
111,01013,Butler,AL,-9.2
127,01015,Calhoun,AL,-3.6
143,01017,Chambers,AL,-0.8
159,01019,Cherokee,AL,-1.4
175,01021,Chilton,AL,0.2
191,01023,Choctaw,AL,-3.0
207,16025,Camas,ID,1.0
223,01025,Clarke,AL,-6.6
239,01027,Clay,AL,-4.8
255,01029,Cleburne,AL,-3.4
271,01031,Coffee,AL,-7.0
287,01033,Colbert,AL,-10.4
303,01035,Conecuh,AL,-1.8
319,01037,Coosa,AL,-0.2
335,01039,Covington,AL,-7.2
351,01041,Crenshaw,AL,2.2
367,01043,Cullman,AL,-3.2
383,01045,Dale,AL,-4.4
399,01047,Dallas,AL,-0.4
415,01049,Dekalb,AL,-2.2
431,01051,Elmore,AL,-7.0
447,01053,Escambia,AL,3.0
463,01055,Etowah,AL,0.2
479,01057,Fayette,AL,1.0
495,01059,Franklin,AL,-2.0
511,01061,Geneva,AL,-1.4
527,01063,Greene,AL,-5.8
543,01065,Hale,AL,-14.0
559,01067,Henry,AL,-3.2
575,01069,Houston,AL,-0.8
591,01071,Jackson,AL,-4.4
607,01073,Jefferson,AL,-2.8
623,01075,Lamar,AL,-5.4
639,01077,Lauderdale,AL,-4.8
655,01079,Lawrence,AL,1.6
671,01081,Lee,AL,-7.6
687,01083,Limestone,AL,-2.2
703,01085,Lowndes,AL,-6.2
719,01087,Macon,AL,-1.4
735,01089,Madison,AL,-10.2
751,01091,Marengo,AL,-4.0
767,01093,Marion,AL,-10.8
783,01095,Marshall,AL,-6.6
799,01097,Mobile,AL,0.2
815,01099,Monroe,AL,-0.8
831,01101,Montgomery,AL,-6.6
847,01103,Morgan,AL,-0.6
863,01105,Perry,AL,0.8
879,01107,Pickens,AL,-0.6
895,01109,Pike,AL,-1.8
911,01111,Randolph,AL,2.2
927,01113,Russell,AL,1.8
943,01115,St Clair,AL,1.0
959,01117,Shelby,AL,0.6
975,01119,Sumter,AL,-3.8
991,01121,Talladega,AL,-0.2
1007,01123,Tallapoosa,AL,-3.4
1023,01125,Tuscaloosa,AL,1.2
1039,01127,Walker,AL,0.2
1055,01129,Washington,AL,-5.6
1071,01131,Wilcox,AL,-1.2
1087,01133,Winston,AL,-2.8
1103,02013,Aleutians East,AK,7.6
1119,02016,Aleutians West Census Area,AK,5.4
1135,02020,Anchorage,AK,6.6
1151,02050,Bethel Census Area,AK,-1.4
1167,02060,Bristol Bay,AK,2.8
1179,02068,Denali,AK,-3.2
1195,02070,Dillingham Census Area,AK,6.4
1211,02090,Fairbanks North Star,AK,0.0
1227,02100,Haines,AK,13.6
1243,02110,Juneau,AK,-1.0
1259,02122,Kenai Peninsula,AK,0.6
1275,02130,Ketchikan Gateway,AK,-0.6
1291,02150,Kodiak Island,AK,9.6
1307,02164,Lake And Peninsula,AK,-8.8
1323,02170,Matanuska-Susitna,AK,8.4
1339,02180,Nome Census Area,AK,3.4
1355,02185,North Slope,AK,-8.4
1371,02188,Northwest Arctic,AK,-8.4
1403,02220,Sitka,AK,3.0
1435,02240,Southeast Fairbanks Census Area,AK,-7.2
1451,02261,Valdez-Cordova Census Area,AK,2.0
1467,02270,Wade Hampton Census Area,AK,-8.8
1515,02290,Yukon-Koyukuk Census Area,AK,12.0
1531,04001,Apache,AZ,-2.0
1547,04003,Cochise,AZ,5.0
